"","country","control_condition","intervention_condition","contrast","pa_effect_size","na_effect_size","optimism_effect_size","ls_effect_size","ladder_effect_size","envy_effect_size","indebted_effect_size","pa_var","na_var","optimism_var","ls_var","ladder_var","envy_var","indebted_var"
"11","Malaysia","events","sub","events vs sub",0.440570450105634,-0.523076618372571,0.499665066567453,0.17802449620701,0.00624264452896064,-0.446382123659835,0.156117003564326,0.0507697659056064,0.0512605487894447,0.051112746505863,0.0497672375089612,0.049571843986498,0.0508015849106483,0.0497220510740979
"12","Malaysia","events","god.letter","events vs god.letter",0.433862025767271,-0.943325650200825,0.491888258615265,0.271047189052326,-0.0427962939932693,-0.838284677032477,-0.17359014160733,0.051301789891976,0.0556869587977506,0.0516375261517303,0.0505844794000403,0.0501367603005803,0.0545173207816295,0.0503136478911033
"13","Malaysia","int.events","text","int.events vs text",0.57247276637779,-0.73457826833287,0.0270617837662143,-0.100099131514126,0.0485450773025143,-0.259173351047413,-0.169690733222336,0.0545090372396812,0.0558848824608674,0.0523857078364109,0.0524460162519256,0.0523962551376427,0.0528171265750637,0.0525679325429104
"14","Malaysia","int.events","hk.list","int.events vs hk.list",0.481936097781812,-0.724124417416165,0.327286642468935,-0.114942257190462,0.0130556814009432,-0.506525191630145,-0.318941164369497,0.0478871593411289,0.0495853789315541,0.0471595671550441,0.0466136088768433,0.0465377875299177,0.048028469616773,0.0471282120387115
"15","Malaysia","int.events","letter","int.events vs letter",0.174540977140262,-0.607941987256035,-0.071666636805574,-0.457023281902457,-0.231041837960552,-0.403334923705222,-0.258145962513716,0.0573544165366146,0.0597094783919462,0.0571785245514059,0.0585933451998078,0.0575135538851362,0.0582725728420259,0.0576056303231497
"16","Malaysia","int.events","list","int.events vs list",0.257832855863869,-0.631191463629521,0.205501080350646,-0.169723145075467,-0.282280579715776,-0.407983776594109,-0.28025489561514,0.0433938982613724,0.0451594561453929,0.0432649243914914,0.0431935161571777,0.0434641351981902,0.0439256694337185,0.0434580739260178
"17","Malaysia","int.events","sub","int.events vs sub",0.170586489318451,-0.625412626670234,0.159915563813066,0.00247704805750404,0.057669456723312,-0.369933296055431,-0.320859566461194,0.0472365127650004,0.0493661669018273,0.0472157671015395,0.0470653738557597,0.0470849010938284,0.0478703415484853,0.0476709310653043
"18","Malaysia","int.events","god.letter","int.events vs god.letter",0.19937348134127,-1.09777124016532,0.171823681354996,0.118624329331725,0,-0.794348590418448,-0.69726045680323,0.0478556534825127,0.0547922719984172,0.0477947820087761,0.0477028079256512,0.0476190476190476,0.0513749385898796,0.0505129294322705
"19","United States","events","sub","events vs sub",0.278534492882357,-0.286774537581881,0.0540506041261138,0.050116424210773,0.196902242866893,-0.263763642816364,-0.0478523003527561,0.0118489062007912,0.011855736364545,0.0117394340660129,0.0117388331689004,0.0117919986194434,0.0118371610329709,0.0117385079294185
"20","United States","events","hk.list","events vs hk.list",0.430651765200428,-0.278089951074651,0.272348062414208,0.160023521669026,0.200162234504926,-0.239007237190827,-0.0201997065709155,0.0121103276756746,0.0119503766076545,0.0119457012322286,0.0118738581262916,0.0118952448017867,0.0119204808066795,0.0118365807604014
"21","United States","events","list","events vs list",0.353334754613317,-0.296530847969902,0.362503389586811,0.203371562165257,0.292451460772213,-0.216190971605174,-0.0141324504645912,0.0117869369132548,0.0117334370509071,0.0117964488823044,0.0116659434980082,0.0117299548959941,0.0116737384891764,0.011606290938383
"22","United States","events","god.letter","events vs god.letter",0.408139444879736,-0.452882678872508,0.29706860817221,0.183186798187828,0.245593246612981,-0.288528073141794,-0.100871253812901,0.0121530673559849,0.0122103960975861,0.0120365077599948,0.0119551203270617,0.0119949397314539,0.0120290653359316,0.0119203250991085
"23","United States","events","text","events vs text",0.658811527405376,-0.547361957102468,0.385149457310312,0.146198442810536,0.207286740140576,-0.512326578246612,0.109081568162672,0.0131136005643934,0.0129048621846431,0.0126699786324434,0.0124728262725269,0.0125063570302255,0.01284721220125,0.0124581132349999
"24","United States","events","letter","events vs letter",0.487551361242476,-0.475189360425553,0.262181595223997,0.0900632503148438,0.165732018451271,-0.431766078224024,0.259342677181258,0.0122230569078856,0.0122053990420284,0.0119723638203853,0.0118824115951377,0.0119111292700378,0.0121469673180571,0.0119701671369036
"25","United States","measure","sub","measure vs sub",0.217825380752072,-0.0275284523446889,0.120096544745056,0.0442538408244953,0.0985444287749183,-0.0742019874808078,0.128027569967507,0.0113388163384738,0.0112730556612748,0.0112923026533469,0.0112747466285131,0.0112856657862805,0.0112797431531869,0.0112950743133639
"26","United States","measure","hk.list","measure vs hk.list",0.372385697326865,-0.0264526428162235,0.336777937258737,0.15603097236532,0.0999315035641295,-0.0588032506956972,0.15229433091637,0.0115697910999035,0.011373809046975,0.0115339221673049,0.0114073970043973,0.0113870001877316,0.0113777267742199,0.0114057604971416
