"","outcome","contrast","estimate","SE","df","t.ratio","p.value"
"141","na","measure - text",0.33,0.07,35.5,4.48,"***"
"142","na","mental.sub - naikan",0.02,0.06,33.88,0.28," "
"143","na","mental.sub - text",0.14,0.07,34.07,2.14,"*"
"144","na","naikan - text",0.12,0.07,35,1.77,"."
"145","indebted","divine.grat - events",0.09,0.07,34.28,1.27," "
"146","indebted","divine.grat - int.events",0.15,0.07,35.26,1.99,"."
"147","indebted","divine.grat - letter",-0.29,0.08,36.03,-3.52,"**"
"148","indebted","divine.grat - list",-0.03,0.07,35.08,-0.36," "
"149","indebted","divine.grat - measure",0.09,0.07,33.76,1.31," "
"150","indebted","divine.grat - mental.sub",0,0.07,34.86,0.04," "
"151","indebted","divine.grat - naikan",-0.05,0.07,34.49,-0.64," "
"152","indebted","divine.grat - text",-0.25,0.07,34.23,-3.55,"**"
"153","indebted","events - int.events",0.06,0.07,35.18,0.85," "
"154","indebted","events - letter",-0.38,0.08,35.98,-4.79,"***"
"155","indebted","events - list",-0.11,0.07,35.37,-1.58," "
"156","indebted","events - measure",0,0.06,34.26,-0.04," "
"157","indebted","events - mental.sub",-0.09,0.07,34.71,-1.25," "
"158","indebted","events - naikan",-0.13,0.07,34.67,-1.99,"."
"159","indebted","events - text",-0.34,0.07,35.15,-4.67,"***"
"160","indebted","int.events - letter",-0.44,0.08,36.22,-5.4,"***"
"161","indebted","int.events - list",-0.17,0.07,34.86,-2.56,"*"
"162","indebted","int.events - measure",-0.06,0.07,34.83,-0.94," "
"163","indebted","int.events - mental.sub",-0.15,0.06,33.67,-2.33,"*"
"164","indebted","int.events - naikan",-0.19,0.06,34.08,-3.06,"**"
"165","indebted","int.events - text",-0.4,0.08,36.3,-4.75,"***"
"166","indebted","letter - list",0.27,0.08,35.9,3.44,"**"
"167","indebted","letter - measure",0.38,0.08,36.31,4.65,"***"
"168","indebted","letter - mental.sub",0.3,0.08,36.27,3.57,"**"
"169","indebted","letter - naikan",0.25,0.08,35.9,3.21,"**"
"170","indebted","letter - text",0.04,0.07,35.29,0.55," "
"171","indebted","list - measure",0.11,0.07,34.3,1.72,"."
"172","indebted","list - mental.sub",0.03,0.07,34.56,0.44," "
"173","indebted","list - naikan",-0.02,0.07,34.45,-0.29," "
"174","indebted","list - text",-0.23,0.08,35.61,-2.95,"**"
"175","indebted","measure - mental.sub",-0.08,0.06,34.27,-1.28," "
"176","indebted","measure - naikan",-0.13,0.06,34.37,-2.04,"*"
"177","indebted","measure - text",-0.34,0.07,35.36,-4.66,"***"
"178","indebted","mental.sub - naikan",-0.05,0.06,33.65,-0.77," "
"179","indebted","mental.sub - text",-0.26,0.08,36.15,-3.08,"**"
"180","indebted","naikan - text",-0.21,0.08,35.82,-2.66,"*"
"181","guilty","divine.grat - events",-0.25,0.08,34.32,-3.32,"**"
"182","guilty","divine.grat - int.events",-0.16,0.07,34.32,-2.08,"*"
"183","guilty","divine.grat - letter",-0.2,0.08,34.56,-2.62,"*"
"184","guilty","divine.grat - list",-0.04,0.07,33.41,-0.5," "
"185","guilty","divine.grat - measure",-0.07,0.08,34.61,-0.94," "
"186","guilty","divine.grat - mental.sub",-0.06,0.07,33.53,-0.8," "
"187","guilty","divine.grat - naikan",-0.03,0.07,33.21,-0.46," "
"188","guilty","divine.grat - text",-0.04,0.08,34.95,-0.51," "
"189","guilty","events - int.events",0.1,0.07,34.06,1.39," "
"190","guilty","events - letter",0.05,0.07,34.29,0.69," "
"191","guilty","events - list",0.22,0.07,33.97,3.1,"**"
"192","guilty","events - measure",0.18,0.08,35.19,2.39,"*"
"193","guilty","events - mental.sub",0.2,0.07,34.38,2.69,"*"
"194","guilty","events - naikan",0.22,0.08,35.01,2.9,"**"
"195","guilty","events - text",0.21,0.08,34.76,2.72,"*"
"196","guilty","int.events - letter",-0.05,0.08,34.94,-0.63," "
"197","guilty","int.events - list",0.12,0.07,33.47,1.78,"."
"198","guilty","int.events - measure",0.08,0.07,34.43,1.2," "
"199","guilty","int.events - mental.sub",0.1,0.07,33.64,1.43," "
"200","guilty","int.events - naikan",0.12,0.07,34.34,1.73,"."
"201","guilty","int.events - text",0.11,0.07,34.19,1.55," "
"202","guilty","letter - list",0.17,0.07,34.59,2.29,"*"
"203","guilty","letter - measure",0.13,0.07,34.92,1.77,"."
"204","guilty","letter - mental.sub",0.15,0.08,35.01,1.9,"."
"205","guilty","letter - naikan",0.17,0.08,35.15,2.21,"*"
"206","guilty","letter - text",0.16,0.08,35.22,2,"."
"207","guilty","list - measure",-0.04,0.07,33.99,-0.51," "
"208","guilty","list - mental.sub",-0.02,0.07,33.31,-0.33," "
"209","guilty","list - naikan",0,0.07,33.82,0.04," "
"210","guilty","list - text",-0.01,0.07,34.13,-0.09," "
"211","guilty","measure - mental.sub",0.01,0.07,34.27,0.19," "
"212","guilty","measure - naikan",0.04,0.07,34.34,0.54," "
"213","guilty","measure - text",0.03,0.07,34.24,0.4," "
"214","guilty","mental.sub - naikan",0.03,0.07,33.7,0.37," "
"215","guilty","mental.sub - text",0.02,0.08,34.39,0.21," "
"216","guilty","naikan - text",-0.01,0.08,35.1,-0.12," "
"217","envy","divine.grat - events",-0.18,0.06,35.2,-3.02,"**"
"218","envy","divine.grat - int.events",-0.11,0.05,34.25,-2.08,"*"
"219","envy","divine.grat - letter",0.16,0.05,33.09,3.15,"**"
"220","envy","divine.grat - list",-0.02,0.05,32.95,-0.49," "
"221","envy","divine.grat - measure",-0.1,0.05,34.22,-1.92,"."
"222","envy","divine.grat - mental.sub",0.01,0.05,33.3,0.12," "
"223","envy","divine.grat - naikan",-0.01,0.05,34.23,-0.14," "
"224","envy","divine.grat - text",0.17,0.06,33.8,3.06,"**"
"225","envy","events - int.events",0.07,0.05,34.3,1.33," "
"226","envy","events - letter",0.34,0.06,35.44,5.85,"***"
