Original_1,Original_2,Matched,Match_Method_1,Match_Method_2,resmobility,power-distance,individualism,motivation,uncertainty-avoidance,long-term-orientation,indulgence
Latvia,Latvia,Latvia,countrycode,countrycode,0.0966,44,70,9,63,69,13
Liberia,,Liberia,countrycode,,0.1504,,,,,,
Libya,Libya,Libya,countrycode,countrycode,0.0611,100,17,66,67,22,74
Lithuania,Lithuania,Lithuania,countrycode,countrycode,0.0786,42,55,19,65,49,16
Luxembourg,Luxembourg,Luxembourg,countrycode,countrycode,0.1308,40,60,50,70,64,56
Macedonia,North macedonia,North Macedonia,countrycode,countrycode,0.0386,90,40,45,87,35,35
Malaysia,Malaysia,Malaysia,countrycode,countrycode,0.1364,100,27,50,36,47,57
Malta,Malta,Malta,countrycode,countrycode,0.0959,56,59,47,96,47,66
Mongolia,Mongolia,Mongolia,countrycode,countrycode,0.1209,93,37,29,39,50,42
Montenegro,Montenegro,Montenegro,countrycode,countrycode,0.0655,88,27,48,90,40,20
Nepal,Nepal,Nepal,countrycode,countrycode,0.0837,65,30,40,40,,
Nicaragua,,Nicaragua,countrycode,,0.0716,,,,,,
Norway,Norway,Norway,countrycode,countrycode,0.2213,31,81,8,50,55,55
Panama,Panama,Panama,countrycode,countrycode,0.1008,95,11,44,86,,
Paraguay,Paraguay,Paraguay,countrycode,countrycode,0.0879,70,12,40,85,20,56
Peru,Peru,Peru,countrycode,countrycode,0.1013,64,20,42,87,5,46
Portugal,Portugal,Portugal,countrycode,countrycode,0.092,63,59,31,99,42,33
Qatar,Qatar,Qatar,countrycode,countrycode,0.2896,93,18,55,80,14,
Serbia,Serbia,Serbia,countrycode,countrycode,0.054,86,42,43,92,37,28
Slovakia,Slovakia,Slovakia,countrycode,countrycode,0.0436,100,57,100,51,53,28
Slovenia,Slovenia,Slovenia,countrycode,countrycode,0.0765,71,81,19,88,50,48
Sudan,,Sudan,countrycode,,0.188,,,,,,
Suriname,Suriname,Suriname,countrycode,countrycode,0.1607,85,47,37,92,,
Switzerland,Switzerland,Switzerland,countrycode,countrycode,0.1101,34,79,70,58,42,66
Tajikistan,,Tajikistan,countrycode,,0.0219,,,,,,
Trinidad & Tobago,Trinidad and tobago,Trinidad & Tobago,countrycode,countrycode,0.1491,47,25,58,55,17,80
Tunisia,Tunisia,Tunisia,countrycode,countrycode,0.062,70,27,40,75,24,
Turkmenistan,,Turkmenistan,countrycode,,0.0248,,,,,,
