outcome,contrast,estimate,SE,df,t,p,
,letter - list,-0.02,0.07,35.18,-0.24, ,
,letter - measure,0.13,0.07,35.18,2,.,
,letter - sub,-0.04,0.06,34.32,-0.72, ,
,letter - text,-0.02,0.06,34.42,-0.26, ,
,list - measure,0.15,0.07,35.13,2.23,*,
,list - sub,-0.03,0.06,34.6,-0.45, ,
,list - text,0,0.06,33.67,-0.02, ,
,measure - sub,-0.18,0.06,33.65,-2.98,**,
,measure - text,-0.15,0.07,34.79,-2.28,*,
,sub - text,0.03,0.06,33.96,0.44, ,
sense of self,events - god.letter,-0.26,0.06,34.57,-4.09,***,1
,events - hk.list,-0.24,0.06,33.88,-4.24,***,1
,events - int.events,-0.17,0.06,33.68,-2.98,**,
,events - letter,-0.31,0.06,34.55,-5.11,***,1
,events - list,-0.23,0.06,34.31,-3.98,***,1
,events - measure,-0.16,0.06,34.78,-2.62,*,
,events - sub,-0.24,0.06,34.02,-4.11,***,1
,events - text,-0.29,0.06,33.53,-4.99,***,1
,god.letter - hk.list,0.02,0.06,33.97,0.33, ,
,god.letter - int.events,0.09,0.07,35.15,1.41, ,0
,god.letter - letter,-0.05,0.06,33.52,-0.77, ,
,god.letter - list,0.03,0.06,34.11,0.42, ,
,god.letter - measure,0.1,0.06,33.61,1.76,.,0
,god.letter - sub,0.02,0.06,33.27,0.37, ,
,god.letter - text,-0.03,0.07,34.64,-0.44, ,
,hk.list - int.events,0.07,0.06,34.02,1.28, ,0
,hk.list - letter,-0.07,0.06,33.88,-1.15, ,
,hk.list - list,0.01,0.06,34.5,0.1, ,
,hk.list - measure,0.08,0.06,34.35,1.45, ,0
,hk.list - sub,0,0.06,34.01,0.03, ,
,hk.list - text,-0.05,0.06,34.39,-0.81, ,
,int.events - letter,-0.14,0.06,34.78,-2.29,*,
,int.events - list,-0.07,0.06,34.31,-1.15, ,
,int.events - measure,0.01,0.06,35.25,0.17, ,
,int.events - sub,-0.07,0.06,34.49,-1.2, ,
,int.events - text,-0.12,0.06,33.85,-2.09,*,
,letter - list,0.07,0.06,34.62,1.18, ,
,letter - measure,0.15,0.06,33.95,2.64,*,
,letter - sub,0.07,0.06,34.3,1.14, ,
,letter - text,0.02,0.06,34.85,0.26, ,
,list - measure,0.08,0.06,34.92,1.27, ,
,list - sub,0,0.06,33.76,-0.07, ,
,list - text,-0.05,0.06,33.54,-0.95, ,
,measure - sub,-0.08,0.06,34.66,-1.37, ,
,measure - text,-0.13,0.06,35.15,-2.08,*,
,sub - text,-0.05,0.06,33.82,-0.86, ,
attitudes towards life,events - god.letter,-0.33,0.09,33.84,-3.85,***,1
,events - hk.list,-0.27,0.08,33.81,-3.38,**,1
,events - int.events,-0.18,0.08,34.05,-2.23,*,
,events - letter,-0.26,0.08,33.83,-3.21,**,1
,events - list,-0.23,0.09,34.55,-2.71,*,1
,events - measure,-0.12,0.08,34.1,-1.47, ,
,events - sub,-0.33,0.08,33.46,-4.18,***,1
,events - text,-0.24,0.08,33.21,-2.92,**,1
,god.letter - hk.list,0.06,0.09,34.16,0.67, ,
,god.letter - int.events,0.15,0.08,33.59,1.77,.,0
,god.letter - letter,0.07,0.08,33.12,0.86, ,
,god.letter - list,0.1,0.08,32.52,1.23, ,
,god.letter - measure,0.21,0.09,34.23,2.43,*,1
,god.letter - sub,0,0.08,33.38,-0.04, ,
,god.letter - text,0.09,0.09,33.19,1.1, ,
,hk.list - int.events,0.09,0.08,34.29,1.08, ,0
,hk.list - letter,0.01,0.08,34.16,0.15, ,
,hk.list - list,0.04,0.09,34.84,0.46, ,
,hk.list - measure,0.15,0.08,34.52,1.83,.,0
,hk.list - sub,-0.06,0.08,34.15,-0.74, ,
,hk.list - text,0.04,0.08,33.41,0.43, ,
,int.events - letter,-0.08,0.08,34.13,-0.95, ,
,int.events - list,-0.05,0.08,34.51,-0.59, ,
,int.events - measure,0.06,0.09,35.22,0.71, ,
,int.events - sub,-0.15,0.08,34.2,-1.82,.,
,int.events - text,-0.05,0.08,33.63,-0.66, ,
,letter - list,0.03,0.08,33.86,0.34, ,
,letter - measure,0.14,0.08,34.18,1.71,.,
,letter - sub,-0.07,0.08,33.66,-0.91, ,
,letter - text,0.02,0.08,33.4,0.28, ,
,list - measure,0.11,0.08,34.31,1.35, ,
,list - sub,-0.1,0.08,34.02,-1.22, ,
,list - text,0,0.08,34.01,-0.06, ,
,measure - sub,-0.21,0.08,33.75,-2.65,*,
,measure - text,-0.12,0.08,34.06,-1.41, ,
,sub - text,0.1,0.08,33.33,1.18, ,
